subject,strEnc,cerEnc,difficulty,targetParam,accuracy
A5,width,value,1,LH,1
A5,width,value,1,LM,1
A5,width,value,1,MH,0
A5,hue,blur,0,LH,0
A5,hue,blur,0,MH,0
A5,hue,blur,0,LM,1
A5,hue,blur,1,LM,0
A5,hue,blur,1,LH,1
A5,hue,blur,1,MH,1
A5,width,grain,0,MH,1
A5,width,grain,0,LH,1
A5,width,grain,0,LM,1
A5,width,grain,1,MH,0
A5,width,grain,1,LH,1
A5,width,grain,1,LM,1
A5,hue,trans,0,LH,1
A5,hue,trans,0,MH,1
A5,hue,trans,0,LM,1
A5,hue,trans,1,LH,1
A5,hue,trans,1,LM,1
A5,hue,trans,1,MH,0
A5,sat,value,0,LM,1
A5,sat,value,0,LH,1
A5,sat,value,0,MH,1
A5,sat,value,1,LH,1
A5,sat,value,1,MH,1
A5,sat,value,1,LM,1
A5,hue,grain,0,MH,0
A5,hue,grain,0,LH,1
A5,hue,grain,0,LM,1
A5,hue,grain,1,MH,0
A5,hue,grain,1,LH,1
A5,hue,grain,1,LM,1
A5,sat,grain,0,LH,1
A5,sat,grain,0,LM,1
A5,sat,grain,0,MH,0
A5,sat,grain,1,LM,1
A5,sat,grain,1,MH,1
A5,sat,grain,1,LH,1
A5,hue,value,0,LM,0
A5,hue,value,0,LH,1
A5,hue,value,0,MH,0
A5,hue,value,1,LH,1
A5,hue,value,1,MH,1
A5,hue,value,1,LM,1
A6,sat,trans,0,LM,1
A6,sat,trans,0,MH,0
A6,sat,trans,0,LH,0
A6,sat,trans,1,LH,1
A6,sat,trans,1,MH,1
A6,sat,trans,1,LM,0
A6,hue,blur,0,MH,1
A6,hue,blur,0,LM,1
A6,hue,blur,0,LH,1
A6,hue,blur,1,LH,1
A6,hue,blur,1,LM,1
A6,hue,blur,1,MH,1
A6,sat,blur,0,LM,1
A6,sat,blur,0,MH,0
A6,sat,blur,0,LH,1
A6,sat,blur,1,LH,1
A6,sat,blur,1,MH,1
A6,sat,blur,1,LM,1
A6,hue,trans,0,LM,1
A6,hue,trans,0,LH,1
A6,hue,trans,0,MH,1
A6,hue,trans,1,LM,1
A6,hue,trans,1,MH,1
A6,hue,trans,1,LH,1
A6,width,trans,0,LM,0
A6,width,trans,0,LH,1
A6,width,trans,0,MH,1
A6,width,trans,1,LH,1
A6,width,trans,1,LM,1
A6,width,trans,1,MH,1
A6,hue,grain,0,LH,1
A6,hue,grain,0,LM,1
A6,hue,grain,0,MH,1
A6,hue,grain,1,LH,1
A6,hue,grain,1,LM,1
A6,hue,grain,1,MH,1
A6,width,blur,0,LH,1
A6,width,blur,0,LM,0
A6,width,blur,0,MH,1
A6,width,blur,1,LH,1
A6,width,blur,1,LM,1
A6,width,blur,1,MH,1
A6,hue,value,0,LM,1
A6,hue,value,0,MH,1
A6,hue,value,0,LH,1
A6,hue,value,1,MH,0
A6,hue,value,1,LH,0
